GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk,g20201103,p20200804,r20200714,s20200707,r20200707,r20200630,s20200623,pp20200310,s20200204,s20200121,s20191105,s20190820,r20190604,r20190521,g20181106,r20180911,p20180807,g20161108,p20160802,pp20160315,g20141104,p20140805,g20121106,p20120807,pp20120207,g20101102,p20100803
29047000062,047,000062,2869,51,339,288,281,590,510,442,231,114,23,1320,707,842,0,0,2440,102,56,20,27,224,2440,54,101,13,8,3,4,6,1,1,2,0,0,1,1,5,1,1,0,0,224,2056,652,0,0,0,0,0,593,0,0,161,0,0,0,1466,0,672,1576,354,786,761,332,1353,271,76,819,283
29047000063,047,000063,455,4,26,36,37,72,60,73,93,35,19,286,80,89,0,0,399,14,1,4,1,36,399,1,14,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,36,367,136,0,0,0,0,0,117,0,0,1,0,0,0,292,0,162,309,103,168,160,97,293,67,28,217,96
29047000064,047,000064,2185,40,184,142,168,383,380,384,311,125,67,1520,388,277,0,0,1839,106,14,19,15,192,1839,14,106,2,10,1,7,5,3,0,0,0,2,0,1,1,1,0,1,0,192,1770,719,0,0,0,0,0,558,0,0,183,0,0,0,1375,0,686,1480,485,785,833,399,1335,352,120,955,388
29047000065,047,000065,1283,19,120,106,99,281,300,184,125,41,8,852,189,242,0,0,1081,41,6,12,11,132,1081,6,39,1,6,0,3,5,1,0,0,2,0,4,1,0,0,2,0,0,132,1044,349,0,0,0,0,0,273,0,0,64,0,0,0,783,0,380,848,199,426,401,173,732,154,35,441,164
29047000066,047,000066,1762,24,119,113,96,253,262,320,326,184,64,1184,303,275,0,0,1499,46,16,21,14,166,1499,15,46,0,7,6,4,2,5,4,1,0,0,3,2,0,0,0,0,0,166,1415,590,0,0,0,0,0,488,0,0,184,0,0,0,1165,0,663,1250,415,713,754,398,1135,324,106,808,335
29047000067,047,000067,1413,32,112,80,119,243,307,239,161,84,35,917,223,273,0,0,1189,55,14,16,17,122,1189,14,55,6,9,5,2,1,1,0,0,0,0,1,0,2,4,0,0,0,122,1151,438,0,0,0,0,0,360,0,0,119,0,0,0,899,0,505,957,276,474,486,219,838,210,58,572,188
29047000068,047,000068,1773,15,81,168,190,255,257,334,272,146,55,866,315,592,0,0,1505,72,12,6,7,171,1505,12,72,4,0,0,1,1,4,0,0,2,0,0,0,0,0,0,0,0,171,1315,509,0,0,0,0,0,267,0,0,5,0,0,0,976,0,569,1121,354,546,510,314,998,264,67,650,339
29047000069,047,000069,2598,31,175,211,244,372,391,423,449,232,70,1510,405,683,0,0,2218,92,10,27,31,220,2218,10,90,19,2,7,2,8,3,0,5,0,0,4,1,1,0,2,1,1,220,2002,844,0,0,0,0,0,717,0,0,208,0,0,0,1597,0,910,1753,538,951,948,532,1535,424,134,1047,457
29047000070,047,000070,2527,28,218,239,248,440,393,349,349,207,56,1137,622,768,0,0,2137,77,26,11,24,252,2137,26,76,9,4,3,6,2,2,1,0,0,3,1,0,2,0,1,1,0,252,1865,669,0,0,0,0,0,610,0,0,194,0,0,0,1367,0,689,1490,396,768,693,394,1313,334,98,861,339
29047000071,047,000071,373,7,29,22,17,39,59,80,64,48,8,272,42,59,0,0,326,7,0,0,10,30,326,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,30,315,118,0,0,0,0,0,73,0,0,0,0,0,0,263,0,143,273,87,153,150,93,243,78,26,186,92
